transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0001,BILL-1001,2025-01-01,S1,Downtown,C001,Regular,P101,Beverages,Orange Juice 1L,2,3.5,Credit Card,0.5,In-store
TXN-2025-0002,BILL-1001,2025-01-01,S1,Downtown,C001,Regular,P205,Snacks,Potato Chips,3,1.2,Credit Card,0.0,In-store
TXN-2025-0003,BILL-1002,2025-01-01,S2,Suburban,C002,Loyal,P301,Personal Care,Shampoo 250ml,1,4.0,UPI,1.0,Online
TXN-2025-0004,BILL-1003,2025-01-01,S3,Uptown,C003,New,P102,Beverages,Green Tea Box,1,5.0,Cash,0.0,In-store
TXN-2025-0005,BILL-1003,2025-01-01,S3,Uptown,C003,New,P210,Snacks,Chocolate Bar,4,1.5,Cash,0.0,In-store
TXN-2025-0006,BILL-1004,2025-01-01,S4,Business District,C004,Regular,P401,Household,Detergent 1kg,1,6.5,UPI,0.5,Online
TXN-2025-0007,BILL-1005,2025-01-02,S1,Downtown,C005,Loyal,P501,Produce,Fresh Apples 1kg,2,3.0,Credit Card,0.0,In-store
TXN-2025-0008,BILL-1005,2025-01-02,S1,Downtown,C005,Loyal,P205,Snacks,Potato Chips,1,1.2,Credit Card,0.0,In-store
TXN-2025-0009,BILL-1006,2025-01-02,S2,Suburban,C006,Regular,P302,Personal Care,Body Lotion 200ml,1,4.5,UPI,0.5,Online
TXN-2025-0010,BILL-1007,2025-01-02,S3,Uptown,C007,New,P103,Beverages,Cola 500ml,3,1.0,Cash,0.0,In-store
TXN-2025-0011,BILL-1007,2025-01-02,S3,Uptown,C007,New,P210,Snacks,Chocolate Bar,2,1.5,Cash,0.0,In-store
TXN-2025-0012,BILL-1008,2025-01-02,S4,Business District,C008,Regular,P601,Bakery,Whole Wheat Bread,1,2.5,Credit Card,0.0,Online
TXN-2025-0013,BILL-1009,2025-01-03,S1,Downtown,C009,Loyal,P701,Frozen,Frozen Pizza,1,6.0,UPI,1.0,Online
TXN-2025-0014,BILL-1009,2025-01-03,S1,Downtown,C009,Loyal,P205,Snacks,Potato Chips,2,1.2,UPI,0.0,Online
TXN-2025-0015,BILL-1010,2025-01-03,S2,Suburban,C010,Regular,P101,Beverages,Orange Juice 1L,1,3.5,Credit Card,0.0,In-store
TXN-2025-0016,BILL-1011,2025-01-03,S3,Uptown,C011,New,P501,Produce,Fresh Apples 1kg,1,3.0,Cash,0.0,In-store
TXN-2025-0017,BILL-1011,2025-01-03,S3,Uptown,C011,New,P602,Bakery,Croissant Pack,1,3.0,Cash,0.0,In-store
TXN-2025-0018,BILL-1012,2025-01-03,S4,Business District,C012,Regular,P302,Personal Care,Body Lotion 200ml,1,4.5,Credit Card,0.5,Online
TXN-2025-0019,BILL-1013,2025-01-04,S1,Downtown,C013,Loyal,P210,Snacks,Chocolate Bar,3,1.5,UPI,0.0,In-store
TXN-2025-0020,BILL-1013,2025-01-04,S1,Downtown,C013,Loyal,P401,Household,Detergent 1kg,1,6.5,UPI,0.5,In-store
TXN-2025-0021,BILL-1014,2025-01-04,S2,Suburban,C014,Regular,P103,Beverages,Cola 500ml,2,1.0,Credit Card,0.0,Online
TXN-2025-0022,BILL-1015,2025-01-04,S3,Uptown,C015,New,P701,Frozen,Frozen Pizza,1,6.0,Cash,1.0,In-store
TXN-2025-0023,BILL-1015,2025-01-04,S3,Uptown,C015,New,P205,Snacks,Potato Chips,1,1.2,Cash,0.0,In-store
TXN-2025-0024,BILL-1016,2025-01-04,S4,Business District,C016,Regular,P101,Beverages,Orange Juice 1L,2,3.5,Credit Card,0.5,Online
TXN-2025-0025,BILL-1017,2025-01-05,S1,Downtown,C017,Loyal,P501,Produce,Fresh Apples 1kg,3,3.0,UPI,0.0,In-store
TXN-2025-0026,BILL-1017,2025-01-05,S1,Downtown,C017,Loyal,P602,Bakery,Croissant Pack,1,3.0,UPI,0.0,In-store
TXN-2025-0027,BILL-1018,2025-01-05,S2,Suburban,C018,Regular,P301,Personal Care,Shampoo 250ml,1,4.0,Credit Card,1.0,Online
TXN-2025-0028,BILL-1019,2025-01-05,S3,Uptown,C019,New,P210,Snacks,Chocolate Bar,2,1.5,Cash,0.0,In-store
TXN-2025-0029,BILL-1019,2025-01-05,S3,Uptown,C019,New,P103,Beverages,Cola 500ml,1,1.0,Cash,0.0,In-store
TXN-2025-0030,BILL-1020,2025-01-05,S4,Business District,C020,Regular,P401,Household,Detergent 1kg,1,6.5,Credit Card,0.5,Online
TXN-2025-0031,BILL-1021,2025-01-06,S1,Downtown,C021,Loyal,P701,Frozen,Frozen Pizza,2,6.0,UPI,1.0,Online
TXN-2025-0032,BILL-1021,2025-01-06,S1,Downtown,C021,Loyal,P205,Snacks,Potato Chips,1,1.2,UPI,0.0,Online
TXN-2025-0033,BILL-1022,2025-01-06,S2,Suburban,C022,Regular,P101,Beverages,Orange Juice 1L,1,3.5,Credit Card,0.0,In-store
TXN-2025-0034,BILL-1023,2025-01-06,S3,Uptown,C023,New,P501,Produce,Fresh Apples 1kg,1,3.0,Cash,0.0,In-store
TXN-2025-0035,BILL-1023,2025-01-06,S3,Uptown,C023,New,P602,Bakery,Croissant Pack,2,3.0,Cash,0.0,In-store
TXN-2025-0036,BILL-1024,2025-01-06,S4,Business District,C024,Regular,P302,Personal Care,Body Lotion 200ml,1,4.5,Credit Card,0.5,Online
TXN-2025-0037,BILL-1025,2025-01-07,S1,Downtown,C025,Loyal,P210,Snacks,Chocolate Bar,4,1.5,UPI,0.0,In-store
TXN-2025-0038,BILL-1025,2025-01-07,S1,Downtown,C025,Loyal,P103,Beverages,Cola 500ml,2,1.0,UPI,0.0,In-store
TXN-2025-0039,BILL-1026,2025-01-07,S2,Suburban,C026,Regular,P401,Household,Detergent 1kg,1,6.5,Credit Card,0.5,Online
TXN-2025-0040,BILL-1027,2025-01-07,S3,Uptown,C027,New,P701,Frozen,Frozen Pizza,1,6.0,Cash,1.0,In-store
TXN-2025-0041,BILL-1027,2025-01-07,S3,Uptown,C027,New,P205,Snacks,Potato Chips,2,1.2,Cash,0.0,In-store
TXN-2025-0042,BILL-1028,2025-01-07,S4,Business District,C028,Regular,P101,Beverages,Orange Juice 1L,2,3.5,Credit Card,0.5,Online
TXN-2025-0043,BILL-1029,2025-01-08,S1,Downtown,C029,Loyal,P501,Produce,Fresh Apples 1kg,2,3.0,UPI,0.0,In-store
TXN-2025-0044,BILL-1029,2025-01-08,S1,Downtown,C029,Loyal,P602,Bakery,Croissant Pack,1,3.0,UPI,0.0,In-store
TXN-2025-0045,BILL-1030,2025-01-08,S2,Suburban,C030,Regular,P301,Personal Care,Shampoo 250ml,1,4.0,Credit Card,1.0,Online
TXN-2025-0046,BILL-1031,2025-01-08,S3,Uptown,C031,New,P210,Snacks,Chocolate Bar,3,1.5,Cash,0.0,In-store
TXN-2025-0047,BILL-1031,2025-01-08,S3,Uptown,C031,New,P103,Beverages,Cola 500ml,1,1.0,Cash,0.0,In-store
TXN-2025-0048,BILL-1032,2025-01-08,S4,Business District,C032,Regular,P401,Household,Detergent 1kg,1,6.5,Credit Card,0.5,Online
TXN-2025-0049,BILL-1033,2025-01-08,S1,Downtown,C033,Loyal,P701,Frozen,Frozen Pizza,2,6.0,UPI,1.0,Online
TXN-2025-0050,BILL-1033,2025-01-08,S1,Downtown,C033,Loyal,P205,Snacks,Potato Chips,1,1.2,UPI,0.0,Online